Country,StatusDate,Infections,Deaths,Recovery
Mauritius,3/18/2020,3,0,0
Mauritius,3/19/2020,3,0,0
Mauritius,3/20/2020,12,0,0
Mauritius,3/21/2020,14,1,0
Mauritius,3/22/2020,28,2,0
Mauritius,3/23/2020,36,2,0
Mauritius,3/24/2020,42,2,0
Mauritius,3/25/2020,48,2,0
Mauritius,3/26/2020,81,2,0
Mauritius,3/27/2020,94,2,0
Mauritius,3/28/2020,102,2,0
Mauritius,3/29/2020,107,3,0
Mauritius,3/30/2020,128,3,0
Mauritius,3/31/2020,143,5,0
Mauritius,4/1/2020,161,6,0
Mauritius,4/2/2020,169,7,0
Mauritius,4/3/2020,186,7,0
