Country,StatusDate,Infections,Deaths,Recovery
Mexico,1/23/2020,0,0,0
Mexico,2/28/2020,1,0,0
Mexico,2/29/2020,4,0,0
Mexico,3/1/2020,5,0,0
Mexico,3/3/2020,5,0,1
Mexico,3/6/2020,6,0,1
Mexico,3/8/2020,7,0,1
Mexico,3/10/2020,7,0,4
Mexico,3/11/2020,8,0,4
Mexico,3/12/2020,12,0,4
Mexico,3/14/2020,26,0,4
Mexico,3/15/2020,41,0,4
Mexico,3/16/2020,53,0,4
Mexico,3/17/2020,82,0,4
Mexico,3/18/2020,93,0,4
Mexico,3/19/2020,118,1,4
Mexico,3/20/2020,164,1,4
Mexico,3/21/2020,203,2,4
Mexico,3/22/2020,251,2,4
Mexico,3/23/2020,316,3,4
Mexico,3/24/2020,367,4,4
Mexico,3/25/2020,405,5,4
Mexico,3/26/2020,475,6,4
Mexico,3/27/2020,585,8,4
Mexico,3/28/2020,717,12,4
Mexico,3/29/2020,848,16,4
Mexico,3/30/2020,993,20,35
Mexico,3/31/2020,1094,28,35
Mexico,4/1/2020,1215,29,35
Mexico,4/2/2020,1378,37,35
Mexico,4/3/2020,1510,50,633
