Country,StatusDate,Infections,Deaths,Recovery
Moldova,3/8/2020,1,0,0
Moldova,3/9/2020,1,0,0
Moldova,3/11/2020,3,0,0
Moldova,3/14/2020,12,0,0
Moldova,3/16/2020,23,0,0
Moldova,3/17/2020,30,0,1
Moldova,3/18/2020,30,1,1
Moldova,3/19/2020,49,1,1
Moldova,3/20/2020,66,1,1
Moldova,3/21/2020,80,1,1
Moldova,3/22/2020,94,1,1
Moldova,3/23/2020,109,1,2
Moldova,3/24/2020,125,1,2
Moldova,3/25/2020,149,1,2
Moldova,3/26/2020,177,1,2
Moldova,3/27/2020,199,2,2
Moldova,3/28/2020,231,2,2
Moldova,3/29/2020,263,2,2
Moldova,3/30/2020,298,2,15
Moldova,3/31/2020,353,4,18
Moldova,4/1/2020,423,5,23
Moldova,4/2/2020,505,6,23
Moldova,4/3/2020,591,8,26
