Country,StatusDate,Infections,Deaths,Recovery
Montenegro,3/17/2020,2,0,0
Montenegro,3/18/2020,1,0,0
Montenegro,3/19/2020,3,0,0
Montenegro,3/20/2020,14,0,0
Montenegro,3/22/2020,21,0,0
Montenegro,3/23/2020,27,1,0
Montenegro,3/24/2020,47,1,0
Montenegro,3/25/2020,52,1,0
Montenegro,3/26/2020,69,1,0
Montenegro,3/27/2020,82,1,0
Montenegro,3/28/2020,84,1,0
Montenegro,3/29/2020,85,1,0
Montenegro,3/30/2020,91,1,0
Montenegro,3/31/2020,109,2,0
Montenegro,4/1/2020,123,2,0
Montenegro,4/2/2020,144,2,0
Montenegro,4/3/2020,174,2,1
