Country,StatusDate,Infections,Deaths,Recovery
Morocco,3/2/2020,1,0,0
Morocco,3/3/2020,1,0,0
Morocco,3/5/2020,2,0,0
Morocco,3/10/2020,3,1,0
Morocco,3/11/2020,5,1,0
Morocco,3/12/2020,6,1,0
Morocco,3/14/2020,17,1,1
Morocco,3/15/2020,28,1,1
Morocco,3/16/2020,29,1,1
Morocco,3/17/2020,38,2,1
Morocco,3/18/2020,49,2,1
Morocco,3/19/2020,63,2,1
Morocco,3/20/2020,77,3,1
Morocco,3/21/2020,96,3,3
Morocco,3/22/2020,115,4,3
Morocco,3/23/2020,143,4,5
Morocco,3/24/2020,170,5,6
Morocco,3/25/2020,225,6,7
Morocco,3/26/2020,275,11,8
Morocco,3/27/2020,345,23,11
Morocco,3/28/2020,402,25,11
Morocco,3/29/2020,479,26,13
Morocco,3/30/2020,556,33,15
Morocco,3/31/2020,617,36,24
Morocco,4/1/2020,654,39,29
Morocco,4/2/2020,708,44,31
Morocco,4/3/2020,791,48,57
