Country,StatusDate,Infections,Deaths,Recovery
Nepal,1/25/2020,1,0,0
Nepal,1/26/2020,1,0,0
Nepal,1/27/2020,1,0,0
Nepal,1/28/2020,1,0,0
Nepal,1/29/2020,1,0,0
Nepal,1/30/2020,1,0,0
Nepal,1/31/2020,1,0,0
Nepal,2/12/2020,1,0,1
Nepal,3/10/2020,1,0,1
Nepal,3/22/2020,1,0,1
Nepal,3/23/2020,2,0,1
Nepal,3/24/2020,2,0,1
Nepal,3/25/2020,3,0,1
Nepal,3/26/2020,3,0,1
Nepal,3/27/2020,4,0,1
Nepal,3/28/2020,5,0,1
Nepal,3/29/2020,5,0,1
Nepal,3/30/2020,5,0,1
Nepal,3/31/2020,5,0,1
Nepal,4/1/2020,5,0,1
Nepal,4/2/2020,6,0,1
Nepal,4/3/2020,6,0,1
