Country,StatusDate,Infections,Deaths,Recovery
Netherlands,2/28/2020,1,0,0
Netherlands,2/29/2020,6,0,0
Netherlands,3/1/2020,10,0,0
Netherlands,3/2/2020,18,0,0
Netherlands,3/3/2020,24,0,0
Netherlands,3/4/2020,38,0,0
Netherlands,3/5/2020,82,0,0
Netherlands,3/6/2020,128,1,0
Netherlands,3/7/2020,188,1,0
Netherlands,3/8/2020,265,3,0
Netherlands,3/9/2020,321,3,0
Netherlands,3/10/2020,382,4,0
Netherlands,3/11/2020,503,5,0
Netherlands,3/14/2020,959,12,2
Netherlands,3/15/2020,1135,20,2
Netherlands,3/16/2020,1414,24,2
Netherlands,3/17/2020,1708,43,2
Netherlands,3/18/2020,2053,58,2
Netherlands,3/19/2020,2463,77,2
Netherlands,3/20/2020,3000,106,2
Netherlands,3/21/2020,3631,136,2
Netherlands,3/22/2020,4217,180,3
Netherlands,3/23/2020,4764,214,3
Netherlands,3/24/2020,5580,277,3
Netherlands,3/25/2020,6438,357,4
Netherlands,3/26/2020,7468,435,6
Netherlands,3/27/2020,8647,547,6
Netherlands,3/28/2020,9819,640,6
Netherlands,3/29/2020,10930,772,253
Netherlands,3/30/2020,11817,865,253
Netherlands,3/31/2020,12667,1040,253
Netherlands,4/1/2020,13696,1175,260
Netherlands,4/2/2020,14788,1341,260
Netherlands,4/3/2020,15821,1490,260
