Country,StatusDate,Infections,Deaths,Recovery
New Zealand,2/28/2020,1,0,0
New Zealand,3/4/2020,3,0,0
New Zealand,3/6/2020,4,0,0
New Zealand,3/7/2020,5,0,0
New Zealand,3/14/2020,6,0,0
New Zealand,3/15/2020,8,0,0
New Zealand,3/17/2020,12,0,0
New Zealand,3/18/2020,20,0,0
New Zealand,3/19/2020,28,0,0
New Zealand,3/20/2020,39,0,0
New Zealand,3/21/2020,52,0,0
New Zealand,3/22/2020,102,0,0
New Zealand,3/23/2020,102,0,0
New Zealand,3/24/2020,155,0,12
New Zealand,3/25/2020,205,0,22
New Zealand,3/26/2020,283,0,27
New Zealand,3/27/2020,368,0,37
New Zealand,3/28/2020,451,0,50
New Zealand,3/29/2020,514,1,56
New Zealand,3/30/2020,589,1,63
New Zealand,3/31/2020,647,1,74
New Zealand,4/1/2020,708,1,83
New Zealand,4/2/2020,797,1,92
New Zealand,4/3/2020,868,1,103
