Country,StatusDate,Infections,Deaths,Recovery
Nigeria,2/28/2020,1,0,0
Nigeria,3/9/2020,2,0,0
Nigeria,3/17/2020,3,0,0
Nigeria,3/18/2020,8,0,1
Nigeria,3/20/2020,12,0,1
Nigeria,3/21/2020,22,0,1
Nigeria,3/22/2020,30,0,2
Nigeria,3/23/2020,40,1,2
Nigeria,3/24/2020,44,1,2
Nigeria,3/25/2020,51,1,2
Nigeria,3/26/2020,65,1,2
Nigeria,3/27/2020,70,1,3
Nigeria,3/28/2020,89,1,3
Nigeria,3/29/2020,111,1,3
Nigeria,3/30/2020,131,2,8
Nigeria,3/31/2020,135,2,8
Nigeria,4/1/2020,174,2,9
Nigeria,4/2/2020,184,2,20
Nigeria,4/3/2020,210,4,25
