Country,StatusDate,Infections,Deaths,Recovery
North Macedonia,2/26/2020,1,0,0
North Macedonia,3/6/2020,3,0,0
North Macedonia,3/10/2020,7,0,0
North Macedonia,3/16/2020,18,0,1
North Macedonia,3/17/2020,26,0,1
North Macedonia,3/18/2020,35,0,1
North Macedonia,3/19/2020,48,0,1
North Macedonia,3/20/2020,67,0,1
North Macedonia,3/21/2020,85,0,1
North Macedonia,3/22/2020,115,1,1
North Macedonia,3/23/2020,136,2,1
North Macedonia,3/24/2020,148,2,1
North Macedonia,3/25/2020,177,3,1
North Macedonia,3/26/2020,201,3,3
North Macedonia,3/27/2020,219,3,3
North Macedonia,3/28/2020,241,4,3
North Macedonia,3/29/2020,259,6,3
North Macedonia,3/30/2020,285,7,12
North Macedonia,3/31/2020,329,9,12
North Macedonia,4/1/2020,354,11,17
North Macedonia,4/2/2020,384,11,17
North Macedonia,4/3/2020,430,12,20
