Country,StatusDate,Infections,Deaths,Recovery
Norway,2/26/2020,1,0,0
Norway,2/28/2020,6,0,0
Norway,2/29/2020,15,0,0
Norway,3/1/2020,19,0,0
Norway,3/2/2020,25,0,0
Norway,3/3/2020,32,0,0
Norway,3/4/2020,56,0,0
Norway,3/5/2020,87,0,0
Norway,3/6/2020,108,0,0
Norway,3/7/2020,147,0,0
Norway,3/8/2020,176,0,0
Norway,3/9/2020,205,0,1
Norway,3/10/2020,400,0,1
Norway,3/11/2020,598,0,1
Norway,3/12/2020,702,0,1
Norway,3/14/2020,1090,3,1
Norway,3/15/2020,1221,3,1
Norway,3/16/2020,1333,3,1
Norway,3/17/2020,1463,3,1
Norway,3/18/2020,1550,6,1
Norway,3/19/2020,1746,7,1
Norway,3/20/2020,1914,7,1
Norway,3/21/2020,2118,7,1
Norway,3/22/2020,2263,7,6
Norway,3/23/2020,2621,10,6
Norway,3/24/2020,2863,12,6
Norway,3/25/2020,3084,14,6
Norway,3/26/2020,3369,14,6
Norway,3/27/2020,3755,19,6
Norway,3/28/2020,4015,23,7
Norway,3/29/2020,4284,25,7
Norway,3/30/2020,4445,32,12
Norway,3/31/2020,4641,39,13
Norway,4/1/2020,4863,44,13
Norway,4/2/2020,5147,50,32
Norway,4/3/2020,5370,59,32
