Country,StatusDate,Infections,Deaths,Recovery
Oman,2/24/2020,2,0,0
Oman,2/25/2020,2,0,0
Oman,2/26/2020,4,0,0
Oman,2/29/2020,6,0,1
Oman,3/3/2020,12,0,2
Oman,3/4/2020,15,0,2
Oman,3/5/2020,16,0,2
Oman,3/10/2020,18,0,9
Oman,3/15/2020,22,0,9
Oman,3/16/2020,22,0,9
Oman,3/17/2020,24,0,9
Oman,3/18/2020,39,0,12
Oman,3/19/2020,48,0,12
Oman,3/21/2020,52,0,12
Oman,3/22/2020,55,0,17
Oman,3/23/2020,66,0,17
Oman,3/24/2020,84,0,17
Oman,3/25/2020,99,0,17
Oman,3/26/2020,109,0,23
Oman,3/27/2020,131,0,23
Oman,3/28/2020,152,0,23
Oman,3/29/2020,167,0,23
Oman,3/30/2020,179,0,29
Oman,3/31/2020,192,1,34
Oman,4/1/2020,210,1,34
Oman,4/2/2020,231,1,57
Oman,4/3/2020,252,1,57
