Country,StatusDate,Infections,Deaths,Recovery
Pakistan,2/26/2020,2,0,0
Pakistan,2/29/2020,4,0,0
Pakistan,3/3/2020,5,0,0
Pakistan,3/6/2020,6,0,0
Pakistan,3/8/2020,6,0,1
Pakistan,3/10/2020,16,0,1
Pakistan,3/11/2020,19,0,2
Pakistan,3/12/2020,20,0,2
Pakistan,3/14/2020,31,0,2
Pakistan,3/15/2020,53,0,2
Pakistan,3/16/2020,136,0,2
Pakistan,3/17/2020,236,0,2
Pakistan,3/18/2020,299,0,2
Pakistan,3/19/2020,454,2,13
Pakistan,3/20/2020,501,3,13
Pakistan,3/21/2020,730,3,13
Pakistan,3/22/2020,776,4,13
Pakistan,3/23/2020,875,6,13
Pakistan,3/24/2020,972,7,18
Pakistan,3/25/2020,1063,8,21
Pakistan,3/26/2020,1201,9,21
Pakistan,3/27/2020,1373,11,23
Pakistan,3/28/2020,1495,12,29
Pakistan,3/29/2020,1597,14,29
Pakistan,3/30/2020,1717,21,76
Pakistan,3/31/2020,1938,26,76
Pakistan,4/1/2020,2118,27,94
Pakistan,4/2/2020,2421,34,125
Pakistan,4/3/2020,2686,40,126
