Country,StatusDate,Infections,Deaths,Recovery
Panama,3/10/2020,1,0,0
Panama,3/11/2020,8,1,0
Panama,3/12/2020,11,1,0
Panama,3/14/2020,36,1,0
Panama,3/15/2020,43,1,0
Panama,3/16/2020,55,1,0
Panama,3/17/2020,69,1,0
Panama,3/18/2020,86,1,0
Panama,3/19/2020,109,1,0
Panama,3/20/2020,137,1,0
Panama,3/21/2020,200,1,0
Panama,3/22/2020,313,3,1
Panama,3/23/2020,313,3,1
Panama,3/24/2020,345,6,1
Panama,3/25/2020,443,8,1
Panama,3/26/2020,558,8,2
Panama,3/27/2020,674,9,2
Panama,3/28/2020,786,14,2
Panama,3/29/2020,901,17,4
Panama,3/30/2020,989,24,4
Panama,3/31/2020,1181,30,9
Panama,4/1/2020,1181,30,9
Panama,4/2/2020,1317,32,9
Panama,4/3/2020,1475,37,10
