Country,StatusDate,Infections,Deaths,Recovery
Papua New Guinea,3/20/2020,1,0,0
Papua New Guinea,3/21/2020,1,0,0
Papua New Guinea,3/22/2020,1,0,0
Papua New Guinea,3/23/2020,1,0,0
Papua New Guinea,3/24/2020,1,0,0
Papua New Guinea,3/25/2020,1,0,0
Papua New Guinea,3/26/2020,1,0,0
Papua New Guinea,3/27/2020,1,0,0
Papua New Guinea,3/28/2020,1,0,0
Papua New Guinea,3/29/2020,1,0,0
Papua New Guinea,3/30/2020,1,0,0
Papua New Guinea,3/31/2020,1,0,0
Papua New Guinea,4/1/2020,1,0,0
Papua New Guinea,4/2/2020,1,0,0
Papua New Guinea,4/3/2020,1,0,0
