Country,StatusDate,Infections,Deaths,Recovery
Paraguay,3/8/2020,1,0,0
Paraguay,3/11/2020,5,0,0
Paraguay,3/16/2020,8,0,0
Paraguay,3/17/2020,9,0,0
Paraguay,3/18/2020,11,0,0
Paraguay,3/20/2020,13,0,0
Paraguay,3/21/2020,18,1,0
Paraguay,3/22/2020,22,1,0
Paraguay,3/23/2020,22,1,0
Paraguay,3/24/2020,27,2,0
Paraguay,3/25/2020,37,3,0
Paraguay,3/26/2020,41,3,0
Paraguay,3/27/2020,52,3,1
Paraguay,3/28/2020,56,3,1
Paraguay,3/29/2020,59,3,1
Paraguay,3/30/2020,64,3,1
Paraguay,3/31/2020,65,3,1
Paraguay,4/1/2020,69,3,1
Paraguay,4/2/2020,77,3,2
Paraguay,4/3/2020,92,3,6
