Country,StatusDate,Infections,Deaths,Recovery
Peru,3/6/2020,1,0,0
Peru,3/8/2020,6,0,0
Peru,3/9/2020,7,0,0
Peru,3/10/2020,11,0,0
Peru,3/12/2020,15,0,0
Peru,3/14/2020,38,0,0
Peru,3/15/2020,43,0,0
Peru,3/16/2020,86,0,0
Peru,3/17/2020,117,0,1
Peru,3/18/2020,145,0,1
Peru,3/19/2020,234,0,1
Peru,3/20/2020,234,3,1
Peru,3/21/2020,318,5,1
Peru,3/22/2020,363,5,1
Peru,3/23/2020,395,5,1
Peru,3/24/2020,416,7,1
Peru,3/25/2020,480,9,1
Peru,3/26/2020,580,9,14
Peru,3/27/2020,635,11,16
Peru,3/28/2020,671,16,16
Peru,3/29/2020,852,18,16
Peru,3/30/2020,950,24,53
Peru,3/31/2020,1065,30,394
Peru,4/1/2020,1323,38,394
Peru,4/2/2020,1414,55,537
Peru,4/3/2020,1595,61,537
