Country,StatusDate,Infections,Deaths,Recovery
Philippines,1/23/2020,0,0,0
Philippines,1/30/2020,1,0,0
Philippines,1/31/2020,1,0,0
Philippines,2/1/2020,1,0,0
Philippines,2/2/2020,2,1,0
Philippines,2/7/2020,3,1,0
Philippines,2/12/2020,3,1,1
Philippines,3/6/2020,5,1,1
Philippines,3/7/2020,6,1,1
Philippines,3/8/2020,10,1,1
Philippines,3/9/2020,20,1,1
Philippines,3/10/2020,33,1,2
Philippines,3/11/2020,49,1,2
Philippines,3/12/2020,52,2,2
Philippines,3/14/2020,111,8,2
Philippines,3/15/2020,140,11,2
Philippines,3/16/2020,142,12,2
Philippines,3/17/2020,187,12,5
Philippines,3/18/2020,202,19,5
Philippines,3/19/2020,217,17,8
Philippines,3/20/2020,230,18,8
Philippines,3/21/2020,307,19,13
Philippines,3/22/2020,380,25,15
Philippines,3/23/2020,462,33,18
Philippines,3/24/2020,552,35,20
Philippines,3/25/2020,636,38,26
Philippines,3/26/2020,707,45,28
Philippines,3/27/2020,803,54,31
Philippines,3/28/2020,1075,68,35
Philippines,3/29/2020,1418,71,42
Philippines,3/30/2020,1546,78,42
Philippines,3/31/2020,2084,88,49
Philippines,4/1/2020,2311,96,50
Philippines,4/2/2020,2633,107,51
Philippines,4/3/2020,3018,136,52
