Country,StatusDate,Infections,Deaths,Recovery
Poland,3/4/2020,1,0,0
Poland,3/6/2020,5,0,0
Poland,3/8/2020,11,0,0
Poland,3/9/2020,16,0,0
Poland,3/10/2020,22,0,0
Poland,3/11/2020,31,0,0
Poland,3/12/2020,49,1,0
Poland,3/14/2020,103,3,0
Poland,3/15/2020,119,3,0
Poland,3/16/2020,177,4,13
Poland,3/17/2020,238,5,13
Poland,3/18/2020,251,5,13
Poland,3/19/2020,355,5,1
Poland,3/20/2020,425,5,1
Poland,3/21/2020,536,5,1
Poland,3/22/2020,634,7,13
Poland,3/23/2020,749,8,13
Poland,3/24/2020,901,10,1
Poland,3/25/2020,1051,14,7
Poland,3/26/2020,1221,16,7
Poland,3/27/2020,1389,16,7
Poland,3/28/2020,1638,18,7
Poland,3/29/2020,1862,22,7
Poland,3/30/2020,2055,31,7
Poland,3/31/2020,2311,33,7
Poland,4/1/2020,2554,43,47
Poland,4/2/2020,2946,57,56
Poland,4/3/2020,3383,71,56
