Country,StatusDate,Infections,Deaths,Recovery
Portugal,3/2/2020,2,0,0
Portugal,3/3/2020,2,0,0
Portugal,3/4/2020,5,0,0
Portugal,3/5/2020,8,0,0
Portugal,3/6/2020,13,0,0
Portugal,3/7/2020,20,0,0
Portugal,3/8/2020,30,0,0
Portugal,3/10/2020,41,0,0
Portugal,3/11/2020,59,0,0
Portugal,3/14/2020,169,0,2
Portugal,3/15/2020,245,0,2
Portugal,3/16/2020,331,0,3
Portugal,3/17/2020,448,1,3
Portugal,3/18/2020,448,2,3
Portugal,3/19/2020,785,3,3
Portugal,3/20/2020,1020,6,5
Portugal,3/21/2020,1280,12,5
Portugal,3/22/2020,1600,14,5
Portugal,3/23/2020,2060,23,14
Portugal,3/24/2020,2362,33,22
Portugal,3/25/2020,2995,43,22
Portugal,3/26/2020,3544,60,43
Portugal,3/27/2020,4268,76,43
Portugal,3/28/2020,5170,100,43
Portugal,3/29/2020,5962,119,43
Portugal,3/30/2020,6408,140,43
Portugal,3/31/2020,7443,160,43
Portugal,4/1/2020,8251,187,43
Portugal,4/2/2020,9034,209,68
Portugal,4/3/2020,9886,246,68
