Country,StatusDate,Infections,Deaths,Recovery
Qatar,2/29/2020,1,0,0
Qatar,3/1/2020,3,0,0
Qatar,3/3/2020,7,0,0
Qatar,3/4/2020,8,0,0
Qatar,3/8/2020,15,0,0
Qatar,3/9/2020,18,0,0
Qatar,3/10/2020,24,0,0
Qatar,3/11/2020,262,0,0
Qatar,3/14/2020,337,0,4
Qatar,3/16/2020,439,0,4
Qatar,3/18/2020,452,0,4
Qatar,3/19/2020,460,0,4
Qatar,3/20/2020,470,0,10
Qatar,3/21/2020,481,0,27
Qatar,3/22/2020,494,0,33
Qatar,3/23/2020,501,0,33
Qatar,3/24/2020,526,0,41
Qatar,3/25/2020,537,0,41
Qatar,3/26/2020,549,0,43
Qatar,3/27/2020,562,0,43
Qatar,3/28/2020,590,1,45
Qatar,3/29/2020,634,1,48
Qatar,3/30/2020,693,1,51
Qatar,3/31/2020,781,2,62
Qatar,4/1/2020,835,2,71
Qatar,4/2/2020,949,3,72
Qatar,4/3/2020,1075,3,93
