Country,StatusDate,Infections,Deaths,Recovery
Romania,2/26/2020,1,0,0
Romania,2/28/2020,3,0,0
Romania,3/3/2020,3,0,0
Romania,3/4/2020,4,0,1
Romania,3/5/2020,6,0,1
Romania,3/6/2020,9,0,1
Romania,3/7/2020,9,0,3
Romania,3/8/2020,15,0,3
Romania,3/10/2020,25,0,3
Romania,3/11/2020,45,0,6
Romania,3/12/2020,49,0,6
Romania,3/14/2020,123,0,9
Romania,3/15/2020,131,0,9
Romania,3/16/2020,158,0,9
Romania,3/17/2020,184,0,16
Romania,3/18/2020,260,0,19
Romania,3/19/2020,277,0,25
Romania,3/20/2020,308,0,25
Romania,3/21/2020,367,0,52
Romania,3/22/2020,433,3,64
Romania,3/23/2020,576,7,73
Romania,3/24/2020,794,11,79
Romania,3/25/2020,906,17,86
Romania,3/26/2020,1029,23,94
Romania,3/27/2020,1292,26,115
Romania,3/28/2020,1452,37,139
Romania,3/29/2020,1815,43,206
Romania,3/30/2020,2109,65,209
Romania,3/31/2020,2245,82,220
Romania,4/1/2020,2460,92,252
Romania,4/2/2020,2738,115,267
Romania,4/3/2020,3183,133,283
