Country,StatusDate,Infections,Deaths,Recovery
Russia,1/31/2020,2,0,0
Russia,2/12/2020,2,0,2
Russia,3/2/2020,3,0,2
Russia,3/5/2020,4,0,2
Russia,3/6/2020,13,0,2
Russia,3/8/2020,17,0,3
Russia,3/11/2020,20,0,3
Russia,3/12/2020,28,0,3
Russia,3/14/2020,59,0,8
Russia,3/15/2020,63,0,8
Russia,3/16/2020,90,0,8
Russia,3/17/2020,114,0,8
Russia,3/18/2020,147,0,8
Russia,3/19/2020,199,1,9
Russia,3/20/2020,253,1,9
Russia,3/21/2020,306,1,12
Russia,3/22/2020,367,1,16
Russia,3/23/2020,438,1,17
Russia,3/24/2020,495,1,22
Russia,3/25/2020,658,3,29
Russia,3/26/2020,840,3,38
Russia,3/27/2020,1036,4,45
Russia,3/28/2020,1264,4,49
Russia,3/29/2020,1534,8,64
Russia,3/30/2020,1836,9,66
Russia,3/31/2020,2337,17,121
Russia,4/1/2020,2777,24,190
Russia,4/2/2020,3548,30,235
Russia,4/3/2020,4149,34,281
