Country,StatusDate,Infections,Deaths,Recovery
Saint Vincent and the Grenadines,3/14/2020,1,0,0
Saint Vincent and the Grenadines,3/22/2020,1,0,0
Saint Vincent and the Grenadines,3/23/2020,1,0,0
Saint Vincent and the Grenadines,3/24/2020,1,0,0
Saint Vincent and the Grenadines,3/25/2020,1,0,0
Saint Vincent and the Grenadines,3/26/2020,1,0,0
Saint Vincent and the Grenadines,3/27/2020,1,0,0
Saint Vincent and the Grenadines,3/28/2020,1,0,1
Saint Vincent and the Grenadines,3/29/2020,1,0,1
Saint Vincent and the Grenadines,3/30/2020,1,0,1
Saint Vincent and the Grenadines,3/31/2020,1,0,1
Saint Vincent and the Grenadines,4/1/2020,1,0,1
Saint Vincent and the Grenadines,4/2/2020,2,0,1
Saint Vincent and the Grenadines,4/3/2020,3,0,1
