Country,StatusDate,Infections,Deaths,Recovery
San Marino,3/1/2020,1,0,0
San Marino,3/2/2020,8,0,0
San Marino,3/3/2020,10,1,0
San Marino,3/4/2020,16,1,0
San Marino,3/5/2020,21,1,0
San Marino,3/7/2020,23,1,0
San Marino,3/8/2020,36,1,0
San Marino,3/10/2020,51,2,0
San Marino,3/11/2020,62,2,0
San Marino,3/12/2020,69,3,0
San Marino,3/14/2020,80,5,4
San Marino,3/15/2020,101,5,4
San Marino,3/16/2020,109,7,4
San Marino,3/18/2020,119,11,4
San Marino,3/20/2020,144,14,4
San Marino,3/21/2020,144,20,4
San Marino,3/22/2020,175,20,4
San Marino,3/23/2020,187,20,4
San Marino,3/24/2020,187,21,4
San Marino,3/25/2020,208,21,4
San Marino,3/26/2020,208,21,4
San Marino,3/27/2020,223,21,4
San Marino,3/28/2020,224,22,6
San Marino,3/29/2020,224,22,6
San Marino,3/30/2020,230,25,13
San Marino,3/31/2020,236,26,13
San Marino,4/1/2020,236,26,13
San Marino,4/2/2020,245,30,21
San Marino,4/3/2020,245,30,21
