Country,StatusDate,Infections,Deaths,Recovery
Saudi Arabia,3/2/2020,1,0,0
Saudi Arabia,3/5/2020,5,0,0
Saudi Arabia,3/8/2020,11,0,0
Saudi Arabia,3/9/2020,15,0,0
Saudi Arabia,3/10/2020,20,0,1
Saudi Arabia,3/11/2020,21,0,1
Saudi Arabia,3/12/2020,45,0,1
Saudi Arabia,3/14/2020,103,0,1
Saudi Arabia,3/16/2020,118,0,2
Saudi Arabia,3/17/2020,171,0,6
Saudi Arabia,3/19/2020,274,0,6
Saudi Arabia,3/20/2020,344,0,8
Saudi Arabia,3/21/2020,392,0,16
Saudi Arabia,3/22/2020,511,0,17
Saudi Arabia,3/23/2020,562,0,19
Saudi Arabia,3/24/2020,767,1,28
Saudi Arabia,3/25/2020,900,2,29
Saudi Arabia,3/26/2020,1012,3,33
Saudi Arabia,3/27/2020,1104,3,35
Saudi Arabia,3/28/2020,1203,4,37
Saudi Arabia,3/29/2020,1299,8,66
Saudi Arabia,3/30/2020,1453,8,115
Saudi Arabia,3/31/2020,1563,10,165
Saudi Arabia,4/1/2020,1720,16,264
Saudi Arabia,4/2/2020,1885,21,328
Saudi Arabia,4/3/2020,2039,25,351
