Country,StatusDate,Infections,Deaths,Recovery
Senegal,3/2/2020,1,0,0
Senegal,3/3/2020,2,0,0
Senegal,3/4/2020,4,0,0
Senegal,3/8/2020,4,0,1
Senegal,3/16/2020,24,0,2
Senegal,3/17/2020,26,0,2
Senegal,3/18/2020,31,0,2
Senegal,3/20/2020,38,0,2
Senegal,3/21/2020,47,0,5
Senegal,3/22/2020,67,0,5
Senegal,3/23/2020,79,0,8
Senegal,3/24/2020,86,0,8
Senegal,3/25/2020,99,0,9
Senegal,3/26/2020,105,0,9
Senegal,3/27/2020,119,0,11
Senegal,3/28/2020,130,0,18
Senegal,3/29/2020,142,0,27
Senegal,3/30/2020,162,0,27
Senegal,3/31/2020,175,0,40
Senegal,4/1/2020,190,1,45
Senegal,4/2/2020,195,1,55
Senegal,4/3/2020,207,1,66
