Country,StatusDate,Infections,Deaths,Recovery
Serbia,3/6/2020,1,0,0
Serbia,3/10/2020,5,0,0
Serbia,3/11/2020,12,0,0
Serbia,3/12/2020,19,0,0
Serbia,3/14/2020,46,0,0
Serbia,3/16/2020,55,0,1
Serbia,3/17/2020,65,0,1
Serbia,3/18/2020,83,0,1
Serbia,3/19/2020,103,0,1
Serbia,3/20/2020,135,1,1
Serbia,3/21/2020,171,1,1
Serbia,3/22/2020,222,2,2
Serbia,3/23/2020,249,3,3
Serbia,3/24/2020,303,3,15
Serbia,3/25/2020,384,4,15
Serbia,3/26/2020,384,1,0
Serbia,3/27/2020,457,1,0
Serbia,3/28/2020,659,10,0
Serbia,3/29/2020,741,13,0
Serbia,3/30/2020,785,16,0
Serbia,3/31/2020,900,16,0
Serbia,4/1/2020,1060,28,0
Serbia,4/2/2020,1171,31,0
Serbia,4/3/2020,1476,39,0
