Country,StatusDate,Infections,Deaths,Recovery
Seychelles,3/14/2020,2,0,0
Seychelles,3/15/2020,2,0,0
Seychelles,3/16/2020,3,0,0
Seychelles,3/17/2020,4,0,0
Seychelles,3/19/2020,6,0,0
Seychelles,3/20/2020,7,0,0
Seychelles,3/22/2020,7,0,0
Seychelles,3/23/2020,7,0,0
Seychelles,3/24/2020,7,0,0
Seychelles,3/25/2020,7,0,0
Seychelles,3/26/2020,7,0,0
Seychelles,3/27/2020,7,0,0
Seychelles,3/28/2020,8,0,0
Seychelles,3/29/2020,8,0,0
Seychelles,3/30/2020,8,0,0
Seychelles,3/31/2020,10,0,0
Seychelles,4/1/2020,10,0,0
Seychelles,4/2/2020,10,0,0
Seychelles,4/3/2020,10,0,0
