Country,StatusDate,Infections,Deaths,Recovery
Singapore,1/23/2020,1,0,0
Singapore,1/24/2020,3,0,0
Singapore,1/25/2020,3,0,0
Singapore,1/26/2020,4,0,0
Singapore,1/27/2020,5,0,0
Singapore,1/28/2020,7,0,0
Singapore,1/29/2020,7,0,0
Singapore,1/30/2020,10,0,0
Singapore,1/31/2020,13,0,0
Singapore,2/1/2020,16,0,0
Singapore,2/2/2020,18,0,0
Singapore,2/4/2020,24,0,0
Singapore,2/5/2020,28,0,0
Singapore,2/7/2020,30,0,0
Singapore,2/8/2020,33,0,2
Singapore,2/9/2020,40,0,2
Singapore,2/10/2020,45,0,2
Singapore,2/11/2020,47,0,9
Singapore,2/12/2020,50,0,15
Singapore,2/13/2020,58,0,15
Singapore,2/14/2020,67,0,17
Singapore,2/15/2020,72,0,18
Singapore,2/16/2020,75,0,18
Singapore,2/17/2020,77,0,24
Singapore,2/18/2020,81,0,29
Singapore,2/19/2020,84,0,34
Singapore,2/21/2020,85,0,37
Singapore,2/23/2020,89,0,51
Singapore,2/25/2020,91,0,53
Singapore,2/26/2020,93,0,62
Singapore,2/29/2020,102,0,72
Singapore,3/1/2020,106,0,72
Singapore,3/2/2020,108,0,78
Singapore,3/3/2020,110,0,78
Singapore,3/5/2020,117,0,78
Singapore,3/6/2020,130,0,78
Singapore,3/7/2020,138,0,78
Singapore,3/8/2020,150,0,78
Singapore,3/10/2020,160,0,78
Singapore,3/11/2020,178,0,96
Singapore,3/14/2020,212,0,105
Singapore,3/15/2020,226,0,105
Singapore,3/16/2020,243,0,109
Singapore,3/17/2020,266,0,114
Singapore,3/18/2020,313,0,114
Singapore,3/19/2020,345,0,114
Singapore,3/20/2020,385,0,124
Singapore,3/21/2020,432,2,140
Singapore,3/22/2020,455,2,144
Singapore,3/23/2020,509,2,152
Singapore,3/24/2020,558,2,156
Singapore,3/25/2020,631,2,160
Singapore,3/26/2020,683,2,172
Singapore,3/27/2020,732,2,183
Singapore,3/28/2020,802,2,198
Singapore,3/29/2020,844,3,212
Singapore,3/30/2020,879,3,228
Singapore,3/31/2020,926,3,240
Singapore,4/1/2020,1000,3,245
Singapore,4/2/2020,1049,4,266
Singapore,4/3/2020,1114,5,282
