Country,StatusDate,Infections,Deaths,Recovery
Slovakia,3/6/2020,1,0,0
Slovakia,3/8/2020,3,0,0
Slovakia,3/10/2020,7,0,0
Slovakia,3/11/2020,10,0,0
Slovakia,3/12/2020,16,0,0
Slovakia,3/14/2020,44,0,0
Slovakia,3/15/2020,54,0,0
Slovakia,3/16/2020,63,0,0
Slovakia,3/17/2020,72,0,0
Slovakia,3/18/2020,105,1,0
Slovakia,3/19/2020,123,1,0
Slovakia,3/20/2020,137,1,0
Slovakia,3/21/2020,178,1,0
Slovakia,3/22/2020,185,0,7
Slovakia,3/23/2020,186,0,7
Slovakia,3/24/2020,204,0,7
Slovakia,3/25/2020,216,0,7
Slovakia,3/26/2020,226,0,2
Slovakia,3/27/2020,269,0,2
Slovakia,3/28/2020,292,0,2
Slovakia,3/29/2020,314,0,2
Slovakia,3/30/2020,336,0,7
Slovakia,3/31/2020,363,0,3
Slovakia,4/1/2020,400,1,3
Slovakia,4/2/2020,426,1,5
Slovakia,4/3/2020,450,1,10
