Country,StatusDate,Infections,Deaths,Recovery
Slovenia,3/5/2020,2,0,0
Slovenia,3/6/2020,7,0,0
Slovenia,3/8/2020,16,0,0
Slovenia,3/10/2020,31,0,0
Slovenia,3/11/2020,57,0,0
Slovenia,3/12/2020,89,0,0
Slovenia,3/14/2020,181,1,0
Slovenia,3/15/2020,219,1,0
Slovenia,3/16/2020,253,1,0
Slovenia,3/17/2020,275,1,0
Slovenia,3/19/2020,286,1,0
Slovenia,3/20/2020,341,1,0
Slovenia,3/21/2020,383,1,0
Slovenia,3/22/2020,414,2,0
Slovenia,3/23/2020,442,3,0
Slovenia,3/24/2020,480,4,3
Slovenia,3/25/2020,528,5,10
Slovenia,3/26/2020,562,6,10
Slovenia,3/27/2020,632,9,10
Slovenia,3/28/2020,684,9,10
Slovenia,3/29/2020,730,11,10
Slovenia,3/30/2020,756,11,10
Slovenia,3/31/2020,802,15,10
Slovenia,4/1/2020,841,15,10
Slovenia,4/2/2020,897,17,70
Slovenia,4/3/2020,934,20,70
