Country,StatusDate,Infections,Deaths,Recovery
South Africa,3/5/2020,1,0,0
South Africa,3/6/2020,1,0,0
South Africa,3/8/2020,3,0,0
South Africa,3/10/2020,7,0,0
South Africa,3/11/2020,13,0,0
South Africa,3/12/2020,17,0,0
South Africa,3/14/2020,38,0,0
South Africa,3/15/2020,51,0,0
South Africa,3/16/2020,62,0,0
South Africa,3/18/2020,116,0,0
South Africa,3/19/2020,150,0,0
South Africa,3/20/2020,202,0,0
South Africa,3/21/2020,240,0,0
South Africa,3/22/2020,274,0,2
South Africa,3/23/2020,402,0,4
South Africa,3/24/2020,554,0,4
South Africa,3/25/2020,709,0,12
South Africa,3/26/2020,927,0,12
South Africa,3/27/2020,1170,1,31
South Africa,3/28/2020,1187,1,31
South Africa,3/29/2020,1280,2,31
South Africa,3/30/2020,1326,3,31
South Africa,3/31/2020,1353,5,31
South Africa,4/1/2020,1380,5,50
South Africa,4/2/2020,1462,5,50
South Africa,4/3/2020,1505,9,95
