Country,StatusDate,Infections,Deaths,Recovery
Spain,2/1/2020,1,0,0
Spain,2/9/2020,2,0,0
Spain,2/15/2020,2,0,2
Spain,2/25/2020,6,0,2
Spain,2/26/2020,13,0,2
Spain,2/28/2020,32,0,2
Spain,2/29/2020,45,0,2
Spain,3/1/2020,84,0,2
Spain,3/2/2020,120,0,2
Spain,3/3/2020,165,1,2
Spain,3/4/2020,222,2,2
Spain,3/5/2020,259,3,2
Spain,3/6/2020,400,5,2
Spain,3/7/2020,500,10,30
Spain,3/8/2020,673,17,30
Spain,3/9/2020,1073,28,32
Spain,3/10/2020,1695,35,32
Spain,3/11/2020,2277,54,183
Spain,3/12/2020,2277,55,183
Spain,3/14/2020,6391,195,517
Spain,3/15/2020,7798,289,517
Spain,3/16/2020,9942,342,530
Spain,3/17/2020,11748,533,1028
Spain,3/18/2020,13910,623,1081
Spain,3/19/2020,17963,830,1107
Spain,3/20/2020,20410,1043,1588
Spain,3/21/2020,25374,1375,2125
Spain,3/22/2020,28603,1756,2125
Spain,3/23/2020,35136,2311,3355
Spain,3/24/2020,39885,2808,3794
Spain,3/25/2020,49515,3647,5367
Spain,3/26/2020,57786,4365,7015
Spain,3/27/2020,65719,5138,9357
Spain,3/28/2020,73235,5982,12285
Spain,3/29/2020,80110,6803,14709
Spain,3/30/2020,87956,7716,16780
Spain,3/31/2020,95923,8464,19259
Spain,4/1/2020,104118,9387,22647
Spain,4/2/2020,112065,10348,26743
Spain,4/3/2020,119199,11198,30513
