Country,StatusDate,Infections,Deaths,Recovery
Sri Lanka,1/27/2020,1,0,0
Sri Lanka,1/28/2020,1,0,0
Sri Lanka,1/29/2020,1,0,0
Sri Lanka,1/30/2020,1,0,0
Sri Lanka,1/31/2020,1,0,0
Sri Lanka,2/8/2020,1,0,1
Sri Lanka,3/10/2020,1,0,1
Sri Lanka,3/11/2020,2,0,1
Sri Lanka,3/14/2020,10,0,1
Sri Lanka,3/15/2020,18,0,1
Sri Lanka,3/16/2020,28,0,1
Sri Lanka,3/17/2020,44,0,1
Sri Lanka,3/18/2020,51,0,1
Sri Lanka,3/19/2020,60,0,3
Sri Lanka,3/20/2020,73,0,3
Sri Lanka,3/21/2020,77,0,1
Sri Lanka,3/22/2020,82,0,3
Sri Lanka,3/23/2020,97,0,2
Sri Lanka,3/24/2020,102,0,2
Sri Lanka,3/25/2020,102,0,3
Sri Lanka,3/26/2020,106,0,7
Sri Lanka,3/27/2020,106,0,7
Sri Lanka,3/28/2020,113,1,9
Sri Lanka,3/29/2020,117,1,11
Sri Lanka,3/30/2020,122,2,15
Sri Lanka,3/31/2020,143,2,17
Sri Lanka,4/1/2020,146,3,21
Sri Lanka,4/2/2020,151,4,21
Sri Lanka,4/3/2020,159,4,24
