Country,StatusDate,Infections,Deaths,Recovery
Sweden,1/31/2020,1,0,0
Sweden,2/1/2020,1,0,0
Sweden,2/26/2020,2,0,0
Sweden,2/29/2020,12,0,0
Sweden,3/1/2020,14,0,0
Sweden,3/2/2020,15,0,0
Sweden,3/3/2020,21,0,0
Sweden,3/4/2020,35,0,0
Sweden,3/5/2020,94,0,0
Sweden,3/6/2020,101,0,0
Sweden,3/7/2020,161,0,0
Sweden,3/8/2020,203,0,0
Sweden,3/9/2020,248,0,1
Sweden,3/10/2020,355,0,1
Sweden,3/11/2020,500,1,1
Sweden,3/12/2020,599,1,1
Sweden,3/14/2020,961,2,1
Sweden,3/15/2020,1022,3,1
Sweden,3/16/2020,1103,6,1
Sweden,3/17/2020,1190,7,1
Sweden,3/18/2020,1279,10,1
Sweden,3/19/2020,1439,11,16
Sweden,3/20/2020,1639,16,16
Sweden,3/21/2020,1763,20,16
Sweden,3/22/2020,1931,21,16
Sweden,3/23/2020,2046,25,16
Sweden,3/24/2020,2286,36,16
Sweden,3/25/2020,2526,62,16
Sweden,3/26/2020,2840,77,16
Sweden,3/27/2020,3069,105,16
Sweden,3/28/2020,3447,105,16
Sweden,3/29/2020,3700,110,16
Sweden,3/30/2020,4028,146,16
Sweden,3/31/2020,4435,180,16
Sweden,4/1/2020,4947,239,103
Sweden,4/2/2020,5568,308,103
Sweden,4/3/2020,6131,358,205
