Country,StatusDate,Infections,Deaths,Recovery
Switzerland,2/25/2020,1,0,0
Switzerland,2/29/2020,18,0,0
Switzerland,3/1/2020,27,0,0
Switzerland,3/2/2020,42,0,0
Switzerland,3/3/2020,56,0,2
Switzerland,3/4/2020,90,0,3
Switzerland,3/5/2020,114,1,3
Switzerland,3/6/2020,214,1,3
Switzerland,3/7/2020,268,1,3
Switzerland,3/8/2020,337,2,3
Switzerland,3/9/2020,374,2,3
Switzerland,3/10/2020,491,3,3
Switzerland,3/11/2020,652,4,4
Switzerland,3/14/2020,1359,13,4
Switzerland,3/15/2020,2200,14,4
Switzerland,3/17/2020,2700,27,4
Switzerland,3/18/2020,3028,28,15
Switzerland,3/19/2020,4075,41,15
Switzerland,3/20/2020,5294,54,15
Switzerland,3/21/2020,6575,75,15
Switzerland,3/22/2020,7474,98,131
Switzerland,3/23/2020,8795,120,131
Switzerland,3/24/2020,9877,122,131
Switzerland,3/25/2020,10897,153,131
Switzerland,3/26/2020,11811,191,131
Switzerland,3/27/2020,12928,231,1530
Switzerland,3/28/2020,14076,264,1530
Switzerland,3/29/2020,14829,300,1595
Switzerland,3/30/2020,15922,359,1823
Switzerland,3/31/2020,16605,433,1823
Switzerland,4/1/2020,17768,488,2967
Switzerland,4/2/2020,18827,536,4013
Switzerland,4/3/2020,19606,591,4846
