Country,StatusDate,Infections,Deaths,Recovery
Taiwan,1/22/2020,1,0,0
Taiwan,1/23/2020,1,0,0
Taiwan,1/24/2020,3,0,0
Taiwan,1/25/2020,3,0,0
Taiwan,1/26/2020,4,0,0
Taiwan,1/27/2020,5,0,0
Taiwan,1/28/2020,8,0,0
Taiwan,1/29/2020,8,0,0
Taiwan,1/30/2020,9,0,0
Taiwan,1/31/2020,10,0,0
Taiwan,2/4/2020,11,0,0
Taiwan,2/6/2020,16,0,1
Taiwan,2/8/2020,17,0,1
Taiwan,2/9/2020,18,0,1
Taiwan,2/14/2020,18,0,2
Taiwan,2/15/2020,18,0,2
Taiwan,2/16/2020,20,1,2
Taiwan,2/17/2020,22,1,2
Taiwan,2/19/2020,23,1,2
Taiwan,2/20/2020,24,1,2
Taiwan,2/21/2020,26,1,2
Taiwan,2/23/2020,28,1,2
Taiwan,2/24/2020,30,1,5
Taiwan,2/25/2020,31,1,5
Taiwan,2/26/2020,32,1,5
Taiwan,2/28/2020,34,1,6
Taiwan,2/29/2020,39,1,9
Taiwan,3/1/2020,40,1,9
Taiwan,3/2/2020,41,1,12
Taiwan,3/3/2020,42,1,12
Taiwan,3/5/2020,44,1,12
Taiwan,3/6/2020,45,1,12
Taiwan,3/8/2020,45,1,13
Taiwan,3/9/2020,45,1,15
Taiwan,3/10/2020,47,1,17
Taiwan,3/11/2020,48,1,17
Taiwan,3/12/2020,49,1,20
Taiwan,3/14/2020,53,1,20
Taiwan,3/15/2020,59,1,20
Taiwan,3/16/2020,67,1,20
Taiwan,3/17/2020,77,1,22
Taiwan,3/18/2020,100,1,22
Taiwan,3/19/2020,108,1,26
Taiwan,3/20/2020,135,2,26
Taiwan,3/21/2020,153,2,28
Taiwan,3/22/2020,169,2,28
Taiwan,3/23/2020,195,2,28
Taiwan,3/24/2020,215,2,29
Taiwan,3/25/2020,235,2,29
Taiwan,3/26/2020,252,2,29
Taiwan,3/27/2020,267,2,29
Taiwan,3/28/2020,283,2,30
Taiwan,3/29/2020,298,2,30
Taiwan,3/30/2020,306,5,39
Taiwan,3/31/2020,322,5,39
Taiwan,4/1/2020,329,5,39
Taiwan,4/2/2020,339,5,45
Taiwan,4/3/2020,348,5,50
