Country,StatusDate,Infections,Deaths,Recovery
Trinidad and Tobago,3/14/2020,2,0,0
Trinidad and Tobago,3/16/2020,4,0,0
Trinidad and Tobago,3/17/2020,5,0,0
Trinidad and Tobago,3/18/2020,7,0,0
Trinidad and Tobago,3/19/2020,9,0,0
Trinidad and Tobago,3/21/2020,49,0,1
Trinidad and Tobago,3/22/2020,50,0,0
Trinidad and Tobago,3/23/2020,51,0,0
Trinidad and Tobago,3/24/2020,57,0,0
Trinidad and Tobago,3/25/2020,60,1,0
Trinidad and Tobago,3/26/2020,65,1,0
Trinidad and Tobago,3/27/2020,66,2,1
Trinidad and Tobago,3/28/2020,74,3,1
Trinidad and Tobago,3/29/2020,78,3,1
Trinidad and Tobago,3/30/2020,82,3,1
Trinidad and Tobago,3/31/2020,87,3,1
Trinidad and Tobago,4/1/2020,90,5,1
Trinidad and Tobago,4/2/2020,94,5,1
Trinidad and Tobago,4/3/2020,98,6,1
