Country,StatusDate,Infections,Deaths,Recovery
Tunisia,3/4/2020,1,0,0
Tunisia,3/8/2020,2,0,0
Tunisia,3/10/2020,5,0,0
Tunisia,3/11/2020,7,0,0
Tunisia,3/14/2020,18,0,0
Tunisia,3/16/2020,20,0,0
Tunisia,3/17/2020,24,0,0
Tunisia,3/18/2020,29,0,0
Tunisia,3/19/2020,39,1,0
Tunisia,3/20/2020,54,1,0
Tunisia,3/21/2020,60,1,0
Tunisia,3/22/2020,75,3,1
Tunisia,3/23/2020,89,3,1
Tunisia,3/24/2020,114,4,1
Tunisia,3/25/2020,173,5,2
Tunisia,3/26/2020,197,6,2
Tunisia,3/27/2020,227,6,2
Tunisia,3/28/2020,278,8,2
Tunisia,3/29/2020,312,8,2
Tunisia,3/30/2020,312,8,3
Tunisia,3/31/2020,394,10,3
Tunisia,4/1/2020,423,12,5
Tunisia,4/2/2020,455,14,5
Tunisia,4/3/2020,495,18,5
