Country,StatusDate,Infections,Deaths,Recovery
Turkey,3/11/2020,1,0,0
Turkey,3/15/2020,6,0,0
Turkey,3/16/2020,18,0,0
Turkey,3/17/2020,47,1,0
Turkey,3/18/2020,98,1,0
Turkey,3/19/2020,192,3,0
Turkey,3/20/2020,359,4,0
Turkey,3/21/2020,670,9,0
Turkey,3/22/2020,1236,30,0
Turkey,3/23/2020,1529,37,0
Turkey,3/24/2020,1872,44,0
Turkey,3/25/2020,2433,59,26
Turkey,3/26/2020,3629,75,26
Turkey,3/27/2020,5698,92,42
Turkey,3/28/2020,7402,108,70
Turkey,3/29/2020,9217,131,105
Turkey,3/30/2020,10827,168,162
Turkey,3/31/2020,13531,214,243
Turkey,4/1/2020,15679,277,333
Turkey,4/2/2020,18135,356,415
Turkey,4/3/2020,20921,425,484
