Country,StatusDate,Infections,Deaths,Recovery
US,1/22/2020,1,0,0
US,1/23/2020,1,0,0
US,1/24/2020,2,0,0
US,1/25/2020,2,0,0
US,1/26/2020,5,0,0
US,1/27/2020,5,0,0
US,1/28/2020,5,0,0
US,1/29/2020,5,0,0
US,1/30/2020,5,0,0
US,1/31/2020,6,0,0
US,2/1/2020,8,0,0
US,2/3/2020,4,0,0
US,2/5/2020,1,0,0
US,2/9/2020,3,0,3
US,2/11/2020,1,0,0
US,2/13/2020,3,0,0
US,2/21/2020,24,0,2
US,2/22/2020,18,0,0
US,2/24/2020,36,0,0
US,2/25/2020,37,0,1
US,2/26/2020,42,0,0
US,2/28/2020,45,0,1
US,2/29/2020,11,1,2
US,3/1/2020,15,1,3
US,3/2/2020,88,6,4
US,3/3/2020,54,7,3
US,3/4/2020,62,11,1
US,3/5/2020,142,11,5
US,3/6/2020,168,14,2
US,3/7/2020,311,16,5
US,3/8/2020,387,20,5
US,3/9/2020,203,2,0
US,3/10/2020,959,28,8
US,3/11/2020,1200,36,8
US,3/12/2020,1554,39,11
US,3/14/2020,2617,54,12
US,3/15/2020,2877,60,10
US,3/16/2020,4612,85,17
US,3/17/2020,6287,108,17
US,3/18/2020,7447,115,106
US,3/19/2020,13604,199,108
US,3/20/2020,19057,244,147
US,3/21/2020,25335,304,171
US,3/22/2020,33746,427,0
US,3/23/2020,43667,552,0
US,3/24/2020,53740,706,348
US,3/25/2020,65778,942,361
US,3/26/2020,83836,1209,681
US,3/27/2020,101657,1581,869
US,3/28/2020,121478,2026,1072
US,3/29/2020,140886,2467,2665
US,3/30/2020,161807,2978,5644
US,3/31/2020,188172,3873,7024
US,4/1/2020,213372,4757,8474
US,4/2/2020,243453,5926,9001
US,4/3/2020,275586,7087,9707
