Country,StatusDate,Infections,Deaths,Recovery
Ukraine,3/3/2020,1,0,0
Ukraine,3/16/2020,7,1,0
Ukraine,3/17/2020,14,2,0
Ukraine,3/19/2020,16,2,0
Ukraine,3/20/2020,29,3,0
Ukraine,3/21/2020,47,3,1
Ukraine,3/22/2020,73,3,1
Ukraine,3/23/2020,73,3,1
Ukraine,3/24/2020,97,3,1
Ukraine,3/25/2020,145,5,1
Ukraine,3/26/2020,196,5,1
Ukraine,3/27/2020,310,5,5
Ukraine,3/28/2020,356,9,5
Ukraine,3/29/2020,475,10,6
Ukraine,3/30/2020,548,13,8
Ukraine,3/31/2020,645,17,10
Ukraine,4/1/2020,794,20,13
Ukraine,4/2/2020,897,22,19
Ukraine,4/3/2020,1072,27,22
