Country,StatusDate,Infections,Deaths,Recovery
United Arab Emirates,1/29/2020,4,0,0
United Arab Emirates,1/30/2020,4,0,0
United Arab Emirates,1/31/2020,4,0,0
United Arab Emirates,2/2/2020,5,0,0
United Arab Emirates,2/8/2020,7,0,0
United Arab Emirates,2/10/2020,8,0,0
United Arab Emirates,2/12/2020,8,0,1
United Arab Emirates,2/15/2020,8,0,3
United Arab Emirates,2/16/2020,9,0,4
United Arab Emirates,2/22/2020,13,0,4
United Arab Emirates,2/28/2020,19,0,5
United Arab Emirates,2/29/2020,21,0,5
United Arab Emirates,3/3/2020,27,0,5
United Arab Emirates,3/5/2020,29,0,5
United Arab Emirates,3/7/2020,45,0,7
United Arab Emirates,3/10/2020,74,0,12
United Arab Emirates,3/11/2020,74,0,17
United Arab Emirates,3/12/2020,85,0,17
United Arab Emirates,3/15/2020,98,0,23
United Arab Emirates,3/16/2020,98,0,23
United Arab Emirates,3/18/2020,113,0,26
United Arab Emirates,3/19/2020,140,0,31
United Arab Emirates,3/20/2020,140,2,31
United Arab Emirates,3/21/2020,153,2,38
United Arab Emirates,3/22/2020,153,2,38
United Arab Emirates,3/23/2020,198,2,41
United Arab Emirates,3/24/2020,248,2,45
United Arab Emirates,3/25/2020,333,2,52
United Arab Emirates,3/26/2020,333,2,52
United Arab Emirates,3/27/2020,405,2,52
United Arab Emirates,3/28/2020,468,2,52
United Arab Emirates,3/29/2020,570,3,58
United Arab Emirates,3/30/2020,611,5,61
United Arab Emirates,3/31/2020,664,6,61
United Arab Emirates,4/1/2020,814,8,61
United Arab Emirates,4/2/2020,1024,8,96
United Arab Emirates,4/3/2020,1264,9,108
