Country,StatusDate,Infections,Deaths,Recovery
United Kingdom,1/31/2020,2,0,0
United Kingdom,2/1/2020,2,0,0
United Kingdom,2/7/2020,3,0,0
United Kingdom,2/10/2020,8,0,0
United Kingdom,2/12/2020,9,0,1
United Kingdom,2/16/2020,9,0,8
United Kingdom,2/24/2020,13,0,8
United Kingdom,2/28/2020,20,0,8
United Kingdom,2/29/2020,23,0,8
United Kingdom,3/1/2020,36,0,8
United Kingdom,3/2/2020,40,0,8
United Kingdom,3/3/2020,51,0,8
United Kingdom,3/4/2020,85,0,8
United Kingdom,3/5/2020,115,1,8
United Kingdom,3/6/2020,163,2,8
United Kingdom,3/7/2020,206,2,18
United Kingdom,3/8/2020,273,3,18
United Kingdom,3/9/2020,321,4,18
United Kingdom,3/10/2020,382,6,18
United Kingdom,3/11/2020,459,8,19
United Kingdom,3/14/2020,1141,21,19
United Kingdom,3/15/2020,3,0,0
United Kingdom,3/16/2020,1550,56,20
United Kingdom,3/17/2020,1953,55,53
United Kingdom,3/18/2020,2635,71,67
United Kingdom,3/19/2020,2715,138,67
United Kingdom,3/20/2020,3998,177,65
United Kingdom,3/21/2020,5052,233,65
United Kingdom,3/22/2020,5741,282,95
United Kingdom,3/23/2020,6726,336,140
United Kingdom,3/24/2020,8164,423,140
United Kingdom,3/25/2020,9640,466,140
United Kingdom,3/26/2020,11812,580,150
United Kingdom,3/27/2020,14745,761,151
United Kingdom,3/28/2020,17312,1021,151
United Kingdom,3/29/2020,19780,1231,151
United Kingdom,3/30/2020,22453,1411,171
United Kingdom,3/31/2020,25481,1793,179
United Kingdom,4/1/2020,29865,2357,179
United Kingdom,4/2/2020,34173,2926,192
United Kingdom,4/3/2020,38689,3611,208
