Country,StatusDate,Infections,Deaths,Recovery
Uruguay,3/14/2020,4,0,0
Uruguay,3/16/2020,8,0,0
Uruguay,3/17/2020,29,0,0
Uruguay,3/18/2020,50,0,0
Uruguay,3/19/2020,79,0,0
Uruguay,3/20/2020,94,0,0
Uruguay,3/21/2020,110,0,0
Uruguay,3/22/2020,135,0,0
Uruguay,3/23/2020,158,0,0
Uruguay,3/24/2020,162,0,0
Uruguay,3/25/2020,189,0,0
Uruguay,3/26/2020,217,0,0
Uruguay,3/27/2020,238,0,0
Uruguay,3/28/2020,274,0,0
Uruguay,3/29/2020,304,1,0
Uruguay,3/30/2020,310,1,0
Uruguay,3/31/2020,338,1,41
Uruguay,4/1/2020,338,2,41
Uruguay,4/2/2020,350,4,62
Uruguay,4/3/2020,369,4,68
