Country,StatusDate,Infections,Deaths,Recovery
Uzbekistan,3/15/2020,1,0,0
Uzbekistan,3/16/2020,6,0,0
Uzbekistan,3/17/2020,10,0,0
Uzbekistan,3/18/2020,15,0,0
Uzbekistan,3/19/2020,23,0,0
Uzbekistan,3/20/2020,33,0,0
Uzbekistan,3/21/2020,43,0,0
Uzbekistan,3/22/2020,43,0,0
Uzbekistan,3/23/2020,46,0,0
Uzbekistan,3/24/2020,50,0,0
Uzbekistan,3/25/2020,60,0,0
Uzbekistan,3/26/2020,75,0,0
Uzbekistan,3/27/2020,88,1,5
Uzbekistan,3/28/2020,104,2,5
Uzbekistan,3/29/2020,144,2,7
Uzbekistan,3/30/2020,149,2,7
Uzbekistan,3/31/2020,172,2,7
Uzbekistan,4/1/2020,181,2,12
Uzbekistan,4/2/2020,205,2,25
Uzbekistan,4/3/2020,227,2,25
