Country,StatusDate,Infections,Deaths,Recovery
Venezuela,3/14/2020,2,0,0
Venezuela,3/15/2020,10,0,0
Venezuela,3/16/2020,17,0,0
Venezuela,3/17/2020,33,0,0
Venezuela,3/18/2020,36,0,0
Venezuela,3/19/2020,42,0,0
Venezuela,3/21/2020,70,0,0
Venezuela,3/22/2020,70,0,15
Venezuela,3/23/2020,77,0,15
Venezuela,3/24/2020,84,0,15
Venezuela,3/25/2020,91,0,15
Venezuela,3/26/2020,107,0,15
Venezuela,3/27/2020,107,1,31
Venezuela,3/28/2020,119,2,39
Venezuela,3/29/2020,119,2,39
Venezuela,3/30/2020,135,3,39
Venezuela,3/31/2020,135,3,39
Venezuela,4/1/2020,143,3,41
Venezuela,4/2/2020,146,5,43
Venezuela,4/3/2020,153,7,52
