Country,StatusDate,Infections,Deaths,Recovery
Vietnam,1/23/2020,2,0,0
Vietnam,1/24/2020,2,0,0
Vietnam,1/25/2020,2,0,0
Vietnam,1/26/2020,2,0,0
Vietnam,1/27/2020,2,0,0
Vietnam,1/28/2020,2,0,0
Vietnam,1/29/2020,2,0,0
Vietnam,1/30/2020,2,0,0
Vietnam,1/31/2020,2,0,0
Vietnam,2/1/2020,6,0,1
Vietnam,2/3/2020,8,0,1
Vietnam,2/6/2020,10,0,1
Vietnam,2/8/2020,13,0,1
Vietnam,2/10/2020,14,0,1
Vietnam,2/11/2020,15,0,6
Vietnam,2/13/2020,16,0,7
Vietnam,2/21/2020,16,0,14
Vietnam,2/25/2020,16,0,16
Vietnam,3/7/2020,18,0,16
Vietnam,3/8/2020,30,0,16
Vietnam,3/10/2020,31,0,16
Vietnam,3/11/2020,38,0,16
Vietnam,3/12/2020,39,0,16
Vietnam,3/14/2020,53,0,16
Vietnam,3/15/2020,56,0,16
Vietnam,3/16/2020,61,0,16
Vietnam,3/17/2020,66,0,16
Vietnam,3/18/2020,75,0,16
Vietnam,3/19/2020,85,0,16
Vietnam,3/20/2020,91,0,16
Vietnam,3/21/2020,94,0,17
Vietnam,3/22/2020,113,0,17
Vietnam,3/23/2020,123,0,17
Vietnam,3/24/2020,134,0,17
Vietnam,3/25/2020,141,0,17
Vietnam,3/26/2020,153,0,20
Vietnam,3/27/2020,163,0,20
Vietnam,3/28/2020,174,0,21
Vietnam,3/29/2020,188,0,25
Vietnam,3/30/2020,203,0,55
Vietnam,3/31/2020,212,0,58
Vietnam,4/1/2020,218,0,63
Vietnam,4/2/2020,233,0,75
Vietnam,4/3/2020,237,0,85
